ENS,Gene,SGPL1_Control.A,SGPL1_Control.B,SGPL1_Control.C,SGPL1_KO.A,SGPL1_KO.B,SGPL1_KO.C,SGPL1_OE.A,SGPL1_OE.B,SGPL1_OE.C
ENSG00000275708,MIR3648-1,0,0,10.21722615,0,0,0,0,0,0
ENSG00000199130,MIR365A,0,9.910437035,0,0,0,0,0,0,6.707017747
ENSG00000283409,MIR3662,0,9.075873916,0,0,0,0,0,0,6.142216252
ENSG00000265452,MIR3682,0,0,10.94702802,0,0,0,11.23617017,10.31489886,6.946554095
ENSG00000265917,MIR3685,7.014159814,0,14.83145731,0,0,0,0,34.93756067,9.411460387
ENSG00000265641,MIR3929,23.72061319,0,0,0,0,9.911555957,0,0,0
ENSG00000233006,MIR3936HG,7.168317172,4.919614665,5.926941205,4.249533749,5.104111016,3.571260124,4.487819445,2.655018347,4.007627363
ENSG00000264553,MIR4257,10.11343973,0,5.346222985,0,0,0,0,0,0
ENSG00000265321,MIR4263,41.91594298,15.58207269,16.61837988,24.22746229,4.546809738,13.13579705,17.05731857,20.87834951,14.06049504
ENSG00000198976,MIR429,0,5.194024229,5.539459961,0,4.546809738,6.567898526,11.37154571,0,3.515123759
ENSG00000265806,MIR4292,25.96286021,19.30316467,27.44926428,12.00524997,5.632615048,16.27270381,35.21784679,32.33028002,17.41822519
ENSG00000266104,MIR4326,0,29.22739058,0,0,12.79271892,0,15.99725922,0,0
ENSG00000283971,MIR4442,25.96286021,12.86877645,27.44926428,0,28.16307524,0,14.08713872,0,4.354556298
ENSG00000268471,MIR4453HG,0.724796514,1.005909359,2.452134276,0.536234499,0.754770416,1.817118592,1.573063823,2.888171682,3.792818536
